wavelength	response
14440.0	0.0
14450.0	7.227e-05
14460.0	0.00031
14470.0	0.00141065
14480.0	0.0027300000000000002
14490.0	0.0037192199999999996
14500.0	0.00439368
14510.0	0.00491
14520.0	0.005433240000000001
14530.0	0.006161130000000001
14540.0	0.0073
14550.0	0.00906659
14560.0	0.01172
14570.0	0.0153636
14580.0	0.0194305
14590.0	0.023331400000000002
14600.0	0.0270592
14610.0	0.030750000000000003
14620.0	0.034690500000000006
14630.0	0.039761000000000005
14640.0	0.04699
14650.0	0.0571156
14660.0	0.0697
14670.0	0.0838228
14680.0	0.09778
14690.0	0.11014
14700.0	0.12134299999999999
14710.0	0.13229
14720.0	0.144024
14730.0	0.158123
14740.0	0.17629999999999998
14750.0	0.19984300000000002
14760.0	0.22829999999999998
14770.0	0.26025200000000004
14780.0	0.29208
14790.000000000002	0.320253
14800.0	0.343804
14810.000000000002	0.362392
14820.0	0.37690199999999996
14830.000000000002	0.393114
14840.0	0.41802
14850.000000000002	0.456239
14860.0	0.5028360000000001
14870.000000000002	0.550551
14880.0	0.5924
14890.000000000002	0.623351
14900.0	0.646034
14910.000000000002	0.66498
14920.0	0.684199
14930.000000000002	0.705623
14940.0	0.73065
14950.000000000002	0.759752
14960.0	0.7896299999999999
14970.000000000002	0.816087
14980.0	0.8351000000000001
14990.000000000002	0.8441270000000001
15000.0	0.8464499999999999
15009.999999999998	0.8468000000000001
15020.0	0.8488880000000001
15029.999999999998	0.8523350000000001
15040.0	0.85574
15049.999999999998	0.857929
15060.0	0.85863
15069.999999999998	0.8579479999999999
15080.0	0.85658
15089.999999999998	0.8552249999999999
15100.0	0.853992
15109.999999999998	0.85284
15120.0	0.851753
15129.999999999998	0.850809
15140.0	0.8501099999999999
15149.999999999998	0.8498439999999999
15160.0	0.8505400000000001
15169.999999999998	0.852543
15180.0	0.8551099999999999
15189.999999999998	0.8575100000000001
15200.0	0.860137
15209.999999999998	0.86367
15220.0	0.868379
15230.0	0.87292
15240.0	0.875984
15250.0	0.878033
15260.0	0.87997
15270.0	0.882395
15280.0	0.88469
15290.0	0.886141
15300.0	0.886875
15310.0	0.88723
15320.0	0.887474
15330.0	0.8876000000000001
15340.0	0.8875029999999999
15350.0	0.886978
15360.0	0.88579
15370.0	0.883866
15380.0	0.88177
15390.0	0.88002
15400.0	0.878325
15410.0	0.87619
15420.0	0.873373
15430.0	0.87063
15440.0	0.8687220000000001
15450.0	0.8674240000000001
15460.0	0.86626
15470.0	0.864916
15480.0	0.86371
15490.0	0.86303
15500.0	0.862913
15510.0	0.86331
15520.0	0.8641249999999999
15530.0	0.86508
15540.0	0.8659680000000001
15550.0	0.867051
15560.0	0.86871
15570.0	0.871109
15580.0	0.87355
15590.0	0.875387
15600.0	0.87705
15610.0	0.8792400000000001
15620.0	0.882361
15630.0	0.88564
15640.0	0.888236
15650.0	0.8902140000000001
15660.0	0.8918699999999999
15670.0	0.893451
15680.0	0.8950239999999999
15690.0	0.89661
15700.0	0.898177
15710.0	0.89949
15720.0	0.900321
15730.0	0.90068
15740.0	0.900641
15750.0	0.9002840000000001
15760.0	0.89969
15770.0	0.89889
15780.0	0.897719
15790.0	0.8959600000000001
15800.0	0.8935190000000001
15810.0	0.89079
15820.0	0.888237
15830.0	0.88612
15840.0	0.884576
15850.0	0.883476
15860.0	0.8826200000000001
15870.0	0.8818389999999999
15880.0	0.8810800000000001
15890.0	0.88032
15900.0	0.8795480000000001
15910.0	0.87881
15920.0	0.8781730000000001
15930.0	0.87773
15940.0	0.877555
15950.0	0.8776170000000001
15960.0	0.8778600000000001
15970.0	0.878265
15980.0	0.8789579999999999
15990.0	0.8801000000000001
16000.0	0.881789
16010.0	0.88387
16020.0	0.886108
16030.0	0.8882099999999999
16040.000000000002	0.8899429999999999
16050.0	0.891386
16060.000000000002	0.8926900000000001
16070.0	0.8939950000000001
16080.000000000002	0.8953749999999999
16090.0	0.89689
16100.000000000002	0.898514
16110.0	0.89988
16120.000000000002	0.900652
16130.0	0.9009600000000001
16140.000000000002	0.901026
16150.0	0.900983
16160.000000000002	0.90094
16170.0	0.90095
16180.000000000002	0.9008440000000001
16190.0	0.9004000000000001
16200.000000000002	0.899325
16210.0	0.8970600000000001
16220.000000000002	0.893339
16230.0	0.8893500000000001
16240.000000000002	0.886237
16250.0	0.8835200000000001
16259.999999999998	0.88031
16270.0	0.876112
16279.999999999998	0.87199
16290.0	0.8689490000000001
16299.999999999998	0.866194
16310.0	0.86248
16319.999999999998	0.857109
16330.0	0.8515699999999999
16339.999999999998	0.847466
16350.0	0.844651
16359.999999999998	0.8425400000000001
16370.0	0.840616
16379.999999999998	0.8386279999999999
16390.0	0.83639
16400.0	0.8338
16410.0	0.83108
16420.0	0.8285410000000001
16430.0	0.8265000000000001
16440.0	0.825192
16450.0	0.824505
16460.0	0.8242400000000001
16470.0	0.8242149999999999
16480.0	0.82431
16490.0	0.824472
16500.0	0.824864
16510.0	0.8257
16520.0	0.8270730000000001
16530.0	0.8285800000000001
16540.0	0.829884
16550.0	0.831407
16560.0	0.8337600000000001
16570.0	0.8372280000000001
16580.0	0.8407800000000001
16590.0	0.843434
16600.0	0.8456940000000001
16610.0	0.84844
16620.0	0.8521639999999999
16630.0	0.8558100000000001
16640.0	0.858321
16650.0	0.860183
16660.0	0.8622700000000001
16670.0	0.865127
16680.0	0.86799
16690.0	0.870042
16700.0	0.871552
16710.0	0.87306
16720.0	0.874896
16730.0	0.87654
16740.0	0.877442
16750.0	0.8777670000000001
16760.0	0.8778600000000001
