wavelength	response
19500.0	0.0
19510.0	2e-05
19520.0	0.00049
19530.0	0.0016300000000000002
19540.0	0.00291
19550.0	0.00386
19560.0	0.0051600000000000005
19570.0	0.0070999999999999995
19580.0	0.00815
19590.0	0.00864
19600.0	0.00928
19610.0	0.01011
19620.0	0.01097
19630.0	0.01198
19640.0	0.01317
19650.0	0.014270000000000001
19660.0	0.01517
19670.0	0.01693
19680.0	0.01998
19690.0	0.02207
19700.0	0.023650000000000004
19710.0	0.02573
19720.0	0.0282
19730.0	0.0308
19740.0	0.03408
19750.0	0.03828
19760.0	0.04195
19770.0	0.04478
19780.0	0.052930000000000005
19790.0	0.06929
19800.0	0.0817
19810.0	0.09094
19820.0	0.10137
19830.0	0.11419000000000001
19840.0	0.12981
19850.0	0.14898999999999998
19860.0	0.17103000000000002
19870.0	0.18931
19880.0	0.20209
19890.0	0.23318000000000003
19900.0	0.29374
19910.0	0.33652000000000004
19920.0	0.36573
19930.0	0.39854
19940.0	0.43366
19950.0	0.46674
19960.0	0.49979
19970.0	0.53416
19980.0	0.56249
19990.0	0.5817100000000001
20000.0	0.61474
20010.0	0.6705599999999999
20019.999999999996	0.6970999999999999
20030.0	0.7050700000000001
20040.0	0.7192400000000001
20050.0	0.73771
20059.999999999996	0.7532800000000001
20070.0	0.76446
20080.0	0.7714300000000001
20090.0	0.7755
20099.999999999996	0.77928
20110.0	0.7897700000000001
20120.0	0.80895
20130.0	0.8207
20139.999999999996	0.82711
20150.0	0.83455
20160.0	0.8424800000000001
20170.0	0.8491
20179.999999999996	0.85473
20190.0	0.8599
20200.0	0.8642000000000001
20210.0	0.86744
20219.999999999996	0.87142
20230.0	0.87681
20240.0	0.87965
20250.0	0.88079
20259.999999999996	0.8821500000000001
20270.0	0.88363
20280.0	0.88469
20290.0	0.88538
20299.999999999996	0.8858199999999999
20310.0	0.8860800000000001
20320.0	0.88618
20330.0	0.88606
20339.999999999996	0.88574
20350.0	0.88556
20360.0	0.8855200000000001
20370.0	0.8854900000000001
20379.999999999996	0.88556
20390.0	0.88577
20400.0	0.8859600000000001
20410.0	0.8861
20419.999999999996	0.88693
20430.0	0.88881
20440.0	0.8904000000000001
20450.0	0.8919499999999999
20460.0	0.89401
20470.0	0.89653
20480.0	0.8993099999999999
20490.0	0.90251
20500.0	0.90617
20510.0	0.9096500000000001
20520.0	0.91262
20530.0	0.91685
20540.0	0.92286
20550.0	0.92601
20560.0	0.92728
20570.0	0.9289100000000001
20580.0	0.93084
20590.0	0.9325700000000001
20600.0	0.93416
20610.0	0.93572
20620.0	0.9370999999999999
20630.0	0.93817
20640.0	0.9392400000000001
20650.0	0.9404000000000001
20660.0	0.94082
20670.0	0.9407500000000001
20680.0	0.94066
20690.0	0.9405500000000001
20700.0	0.94026
20710.0	0.9396800000000001
20720.0	0.93876
20730.0	0.93782
20740.0	0.93691
20750.0	0.9346899999999999
20760.0	0.93069
20770.0	0.9281
20780.0	0.92651
20790.0	0.92461
20800.0	0.9225300000000001
20810.0	0.9206000000000001
20820.0	0.91869
20830.000000000004	0.9166500000000001
20840.0	0.91487
20850.0	0.9134399999999999
20860.0	0.91098
20870.000000000004	0.90689
20880.0	0.90429
20890.0	0.90271
20900.0	0.9008799999999999
20910.000000000004	0.8990300000000001
20920.0	0.89759
20930.0	0.89651
20940.0	0.89562
20950.000000000004	0.89499
20960.0	0.89454
20970.0	0.89369
20980.0	0.89217
20990.000000000004	0.8913200000000001
21000.0	0.8911199999999999
21010.0	0.89115
21020.0	0.89152
21030.000000000004	0.89236
21040.0	0.8935200000000001
21050.0	0.8947700000000001
21060.0	0.89586
21070.000000000004	0.8966200000000001
21080.0	0.89724
21090.0	0.8978700000000001
21100.0	0.89835
21110.000000000004	0.8989900000000001
21120.0	0.9000900000000001
21130.0	0.9016200000000001
21140.0	0.9034300000000001
21150.000000000004	0.9055500000000001
21160.0	0.90791
21170.0	0.91015
21180.0	0.9120699999999999
21190.000000000004	0.91473
21200.0	0.91838
21210.0	0.9200400000000001
21220.0	0.92035
21230.000000000004	0.9207299999999999
21240.0	0.92132
21250.0	0.92196
21260.0	0.9229
21269.999999999996	0.9243399999999999
21280.0	0.9259900000000001
21290.0	0.92755
21300.0	0.92931
21309.999999999996	0.93118
21320.0	0.9316599999999999
21330.0	0.9312699999999999
21340.0	0.93092
21349.999999999996	0.9307500000000001
21360.0	0.93067
21370.0	0.93073
21380.0	0.93093
21389.999999999996	0.9310299999999999
21400.0	0.93078
21410.0	0.9302
21420.0	0.9293899999999999
21429.999999999996	0.9284600000000001
21440.0	0.92756
21450.0	0.92683
21460.0	0.92637
21469.999999999996	0.92622
21480.0	0.92632
21490.0	0.9265300000000001
21500.0	0.92661
21509.999999999996	0.92637
21520.0	0.92608
21530.0	0.92591
21540.0	0.92597
21549.999999999996	0.92645
21560.0	0.9274500000000001
21570.0	0.92893
21580.0	0.93073
21589.999999999996	0.93252
21600.0	0.93405
21610.0	0.93567
21620.0	0.9374500000000001
21629.999999999996	0.93833
21640.0	0.9388299999999999
21650.0	0.93975
21660.0	0.94109
21669.999999999996	0.94265
21680.0	0.94432
21690.0	0.94596
21700.0	0.9473699999999999
21710.0	0.94838
21720.0	0.9492400000000001
21730.0	0.9500700000000001
21740.0	0.95037
21750.0	0.95037
21760.0	0.95044
21770.0	0.95059
21780.0	0.95074
21790.0	0.95094
21800.0	0.95123
21810.0	0.95158
21820.0	0.9519299999999999
21830.0	0.95243
21840.0	0.9530500000000001
21850.0	0.9531999999999999
21860.0	0.95301
