MJD Phase Instrument Telescope Band l_Mag Mag e_Mag Delta Ref Used Average Repeated Outlier Excluded
57985.974 3.445 GROND LaSilla r "" 19.81 0.02 0.0 2017Natur.551...75S * "" "" "" ""
57985.979 3.45 FORS VLT r "" 19.28 0.01 0.0 2017ApJ...848L..27T * "" "" "" ""
57985.985 3.456 DECam Blanco/CTIO r "" 19.29 0.04 0.0 2017ApJ...848L..17C * "" "" "" ""
57986.003 3.474 AltaU47+ Prompt5 r "" 20.18 0.1 0.0 2017ApJ...848L..24V * "" "" "" ""
57986.008 3.479 E2V4kx4kccd Swope r "" 19.82 0.09 0.0 2017arXiv171005452C * "" "" "" ""
57986.02 3.491 XS VLT r "" 19.74 0.02 0.0 2017Natur.551...67P * "" "" "" ""
57986.039 3.51 GMOS Gemini-S r "" 19.66 0.01 0.0 2017Natur.551...71T * "" "" "" ""
57986.494 3.965 zadko zadko r "" 19.86 0.21 0.0 2017arXiv171005846A * "" "" "" ""
57986.715 4.186 Sinistro LCO1m r "" 20.30 0.31 -0.39 2017Natur.551...64A * "" "" "" ""
57986.969 4.44 Sinistro LCO1m r "" 20.25 0.28 -0.37 2017Natur.551...64A * "" "" "" ""
57986.974 4.445 GROND LaSilla r "" 20.53 0.05 0.0 2017Natur.551...75S * "" "" "" ""
57986.984 4.455 DECam Blanco/CTIO r "" 20.25 0.05 0.0 2017ApJ...848L..17C * "" "" "" ""
57986.989 4.46 VIMOS VLT r "" 19.86 0.01 0.0 2017ApJ...848L..27T * "" "" O ""
57986.997 4.467 E2V4kx4kccd Swope r "" 20.58 0.12 0.0 2017arXiv171005452C * "" "" "" ""
57987.004 4.475 AltaU47+ Prompt5 r "" 20.92 0.12 0.0 2017ApJ...848L..24V * "" "" O ""
57987.358 4.829 Sinistro LCO1m r "" 20.69 0.33 -0.62 2017Natur.551...64A * "" "" "" ""
57987.382 4.853 Skymapper Skymapper r > 20.51 "" 0.0 2017arXiv171005846A * "" "" "" ""
57987.394 4.865 Skymapper Skymapper r > 20.47 "" 0.0 2017arXiv171005846A * "" "" "" ""
57987.49 4.961 zadko zadko r "" 20.23 0.23 0.0 2017arXiv171005846A * "" "" O ""
57987.969 5.44 FORS VLT r "" 20.39 0.03 0.0 2017ApJ...848L..27T * "" "" "" ""
57987.983 5.454 DECam Blanco/CTIO r "" 20.79 0.24 0.0 2017ApJ...848L..17C * "" "" "" ""
57988.02 5.491 XS VLT r "" 20.74 0.03 0.0 2017Natur.551...67P * "" "" "" ""
57988.481 5.952 zadko zadko r > 20.60 "" 0.0 2017arXiv171005846A * "" "" "" ""
57988.98 6.451 OmegaCam VST r "" 21.31 0.07 0.0 2017Natur.551...67P * "" "" "" ""
57988.985 6.456 DECam Blanco/CTIO r "" 20.95 0.35 0.0 2017ApJ...848L..17C * "" "" "" ""
57989.983 7.454 GROND LaSilla r > 20.60 "" 0.0 2017Natur.551...75S * "" "" "" ""
57989.987 7.458 DECam Blanco/CTIO r "" 21.23 0.11 0.0 2017ApJ...848L..17C * "" "" "" ""
57989.996 7.467 - RC-1000 r > 21.00 "" 0.0 2017arXiv171005448P * "" "" "" ""
57990.004 7.475 AltaU47+ Prompt5 r > 20.89 "" 0.0 2017ApJ...848L..24V * "" "" "" ""
57990.039 7.51 GMOS Gemini-S r "" 21.74 0.04 0.0 2017Natur.551...71T * "" "" "" ""
57990.968 8.439 GROND LaSilla r > 21.70 "" 0.0 2017Natur.551...75S * "" "" "" ""
