Title: The Combined Ultraviolet, Optical, and Near-Infrared Light Curves of
57983.405  0.876 Sinistro    LCO1m       r       17.20  0.02 -0.02 2017Natur.551...64A *         
57983.419  0.890 Skymapper   Skymapper   r       17.32  0.07  0.00 2017arXiv171005846A *         
57983.421  0.892 Skymapper   Skymapper   g       17.46  0.08  0.00 2017arXiv171005846A *         
57983.550  1.021 10k10kccd   AST3-2      i       17.14  0.13 -0.09 2017arXiv171005462H *         
57983.569  1.040 UVOT        Swift       W1      20.21  0.21  0.00 2017arXiv171005437E *         
57983.572  1.042 UVOT        Swift       U       19.00  0.16  0.00 2017arXiv171005437E *         
57983.575  1.046 UVOT        Swift       W2    > 21.45        0.00 2017arXiv171005437E *         
57983.594  1.065 10k10kccd   AST3-2      i       17.48  0.07 -0.13 2017arXiv171005462H *         
57983.594  1.065 UVOT        Swift       M2      22.52  0.50  0.00 2017arXiv171005437E *         
57983.625  1.096 10k10kccd   AST3-2      i       17.58  0.09 -0.14 2017arXiv171005462H *         
57983.699  1.170 SIRIUS      IRSF        H       17.64  0.04  0.00 2017arXiv171005848U *         
57983.699  1.170 SIRIUS      IRSF        J       17.51  0.03  0.00 2017arXiv171005848U *         
57983.699  1.170 SIRIUS      IRSF        Ks      17.91  0.05  0.00 2017arXiv171005848U *         
57983.717  1.188 MASTER      SAAO        W       17.30  0.20  0.00 2017ApJ...850L...1L *         
57983.719  1.190 -           KMTNet-SAAO B       18.47  0.11  0.00 2017Natur.551...71T *         
57983.719  1.190 -           KMTNet-SAAO I       17.58  0.10  0.00 2017Natur.551...71T *         
57983.719  1.190 -           KMTNet-SAAO R       17.65  0.05  0.00 2017Natur.551...71T *         
57983.719  1.190 -           KMTNet-SAAO V       17.81  0.04  0.00 2017Natur.551...71T *         
57983.726  1.197 MASTER      SAAO        R       17.00  0.20  0.00 2017ApJ...850L...1L *     O   
57983.733  1.204 Sinistro    LCO1m       w       17.95  0.04  0.00 2017Natur.551...64A         X 
57983.736  1.207 MASTER      SAAO        B       18.10  0.10  0.00 2017ApJ...850L...1L *         
57983.741  1.212 Sinistro    LCO1m       r       17.75  0.02 -0.03 2017Natur.551...64A *         
57983.745  1.216 Sinistro    LCO1m       g       18.05  0.12 -0.07 2017Natur.551...64A *         
57983.758  1.229 -           1.5B        r       17.89  0.03  0.00 2017Natur.551...75S *         
57983.964  1.435 EFOSC2      NTT         V       18.22  0.08  0.00 2017arXiv171005443D *         
57983.968  1.439 T80Cam      T80S        g       18.43  0.06  0.00 2017arXiv171005437E *         
57983.968  1.439 Sinistro    LCO1m       w       18.23  0.04  0.00 2017Natur.551...64A         X 
57983.969  1.440 EFOSC2      NTT         V       18.16  0.05  0.00 2017arXiv171005443D *         
57983.969  1.440 GROND       LaSilla     H       17.64  0.08  0.00 2017Natur.551...75S *         
57983.969  1.440 GROND       LaSilla     J       17.58  0.07  0.00 2017Natur.551...75S *         
57983.969  1.440 GROND       LaSilla     K       17.85  0.15 -0.29 2017Natur.551...75S *         
57983.969  1.440 GROND       LaSilla     g       18.49  0.04  0.00 2017Natur.551...75S *         
57983.969  1.440 GROND       LaSilla     i       17.85  0.05  0.00 2017Natur.551...75S *         
57983.969  1.440 GROND       LaSilla     r       17.99  0.01  0.00 2017Natur.551...75S *         
57983.969  1.440 GROND       LaSilla     z       17.72  0.03  0.00 2017Natur.551...75S *         
57983.969  1.440 FORS        VLT         r       17.69  0.02  0.00 2017ApJ...848L..27T *         
57983.970  1.441 EFOSC2      NTT         V       18.13  0.08  0.00 2017arXiv171005443D *         
57983.972  1.443 Sinistro    LCO1m       i       17.88  0.10 -0.25 2017Natur.551...64A *         
57983.974  1.445 T80Cam      T80S        g       18.51  0.04  0.00 2017ApJ...848L..29D *         
57983.975  1.446 T80Cam      T80S        g       18.48  0.04  0.00 2017ApJ...848L..29D *         
57983.976  1.447 T80Cam      T80S        g       18.61  0.04  0.00 2017ApJ...848L..29D *         
57983.976  1.447 Sinistro    LCO1m       r       17.98  0.08 -0.04 2017Natur.551...64A *         
57983.976  1.447 DECam       Blanco/CTIO Y       17.32  0.03  0.00 2017ApJ...848L..17C *         
57983.977  1.448 LDSS        Magellan    z       17.62  0.06  0.00 2017arXiv171005443D *         
57983.977  1.448 DECam       Blanco/CTIO z       17.59  0.02  0.00 2017ApJ...848L..17C *         
57983.977  1.448 T80Cam      T80S        r       17.93  0.02  0.00 2017ApJ...848L..29D *         
57983.978  1.449 DECam       Blanco/CTIO i       17.78  0.02  0.00 2017ApJ...848L..17C *         
57983.978  1.449 T80Cam      T80S        r       17.97  0.02  0.00 2017ApJ...848L..29D *         
57983.978  1.449 DECam       Blanco/CTIO r       18.04  0.02  0.00 2017ApJ...848L..17C *         
57983.978  1.449 LDSS        Magellan    z       17.61  0.06  0.00 2017arXiv171005443D *         
57983.979  1.450 LDSS        Magellan    z       17.61  0.06  0.00 2017arXiv171005443D *         
57983.979  1.450 DECam       Blanco/CTIO g       18.66  0.03  0.00 2017ApJ...848L..17C *         
57983.979  1.450 T80Cam      T80S        r       17.94  0.02  0.00 2017ApJ...848L..29D *         
57983.980  1.451 DECam       Blanco/CTIO u       19.94  0.05  0.00 2017ApJ...848L..17C *         
57983.980  1.451 LDSS        Magellan    i       17.77  0.03  0.00 2017arXiv171005443D *         
57983.980  1.451 ROS2        REM         I       17.66  0.06  0.00 2017Natur.551...67P *         
57983.980  1.451 Sinistro    LCO1m       g       18.61  0.14 -0.13 2017Natur.551...64A *         
57983.980  1.451 ROS2        REM         r       17.68  0.13  0.00 2017Natur.551...67P *         
57983.980  1.451 ROS2        REM         z       17.61  0.10  0.00 2017Natur.551...67P *         
57983.980  1.451 T80Cam      T80S        i       17.74  0.03  0.00 2017ApJ...848L..29D *         
57983.981  1.452 LDSS        Magellan    r       17.91  0.03  0.00 2017arXiv171005443D *         
57983.981  1.452 FourStar    Magellan    Ks      17.61  0.04  0.00 2017arXiv171005443D *         
57983.981  1.452 FourStar    Magellan    J       17.47  0.01  0.00 2017arXiv171005443D *         
57983.981  1.452 LDSS        Magellan    g       18.61  0.03  0.00 2017arXiv171005443D *         
57983.982  1.452 T80Cam      T80S        i       17.80  0.03  0.00 2017ApJ...848L..29D *         
57983.983  1.454 T80Cam      T80S        i       17.81  0.03  0.00 2017ApJ...848L..29D *         
57983.983  1.454 LDSS        Magellan    B       19.04  0.06  0.00 2017arXiv171005443D *         
57983.984  1.455 T80Cam      T80S        g       18.58  0.03  0.00 2017ApJ...848L..29D *         
57983.984  1.455 LDSS        Magellan    B       19.04  0.07  0.00 2017arXiv171005443D *         
57983.985  1.456 T80Cam      T80S        g       18.55  0.03  0.00 2017ApJ...848L..29D *         
57983.986  1.457 T80Cam      T80S        g       18.61  0.04  0.00 2017ApJ...848L..29D *         
57983.987  1.458 T80Cam      T80S        r       17.95  0.02  0.00 2017ApJ...848L..29D *         
57983.988  1.459 LDSS        Magellan    g       18.66  0.03  0.00 2017arXiv171005443D *         
57983.988  1.459 T80Cam      T80S        r       17.98  0.02  0.00 2017ApJ...848L..29D *         
57983.989  1.460 -           KMTNet/CTIO B       19.09  0.11  0.00 2017Natur.551...71T *         
57983.989  1.460 -           KMTNet/CTIO I       17.77  0.09  0.00 2017Natur.551...71T *         
57983.989  1.460 -           KMTNet/CTIO R       17.94  0.05  0.00 2017Natur.551...71T *         
