 #redshift day     u       g       r       i       z       J       H       K
  0.03    2.11   31.06   27.20   25.12   23.39   21.79   21.73   22.85   24.79
  0.03    2.37   32.17   27.69   25.40   23.55   21.90   21.67   22.69   24.41
  0.03    2.66   32.99   28.48   25.79   23.74   22.04   21.71   22.64   24.08
  0.03    2.99   34.00   29.31   26.25   23.99   22.17   21.82   22.71   23.67
  0.03    3.35   36.84   30.58   26.95   24.35   22.38   22.00   22.84   23.21
  0.03    3.76   35.16   31.71   27.82   24.87   22.69   22.22   22.95   22.74
  0.03    4.22    +Inf   33.14   28.63   25.48   23.12   22.45   22.94   22.38
  0.03    4.73    +Inf   33.65   29.53   26.10   23.69   22.74   22.89   22.19
  0.03    5.31   47.13   34.33   30.44   26.79   24.37   23.16   22.95   22.15
  0.03    5.96    +Inf   40.44   31.49   27.44   25.07   23.68   23.10   22.12
  0.03    6.68    +Inf    +Inf   32.31   28.25   25.83   24.24   23.37   22.17
  0.03    7.50    +Inf    +Inf   33.27   29.15   26.67   24.79   23.72   22.26
  0.03    8.41    +Inf    +Inf   33.09   29.93   27.72   25.36   24.13   22.37
  0.03    9.44    +Inf    +Inf   33.58   30.27   28.69   25.82   24.53   22.50
  0.03   10.59    +Inf    +Inf   33.20   30.55   29.28   26.07   24.89   22.66
  0.03   11.89    +Inf    +Inf   33.04   30.56   29.44   26.26   25.17   22.81
  0.03   13.34    +Inf    +Inf   33.14   30.56   29.73   26.40   25.43   22.92
  0.03   14.96    +Inf    +Inf   33.63   30.71   29.89   26.58   25.68   23.08
  0.03   16.79    +Inf   38.94   33.97   30.88   30.12   26.80   25.94   23.25
  0.03   18.84    +Inf    +Inf   33.05   30.78   30.05   26.94   26.20   23.39
  0.03   21.13    +Inf    +Inf   34.10   30.76   30.02   27.03   26.45   23.49
  0.03   23.71    +Inf   42.16   33.92   31.03   30.28   27.24   26.67   23.64
  0.03   26.61    +Inf   41.80   33.09   30.80   30.10   27.37   26.92   23.79
  0.03   29.85    +Inf   38.18   34.29   30.79   30.30   27.57   27.13   23.91


  0.04    1.06   28.33   25.83   24.49   23.43   22.19   22.84   25.65   27.28
  0.04    1.19   28.88   26.14   24.76   23.54   22.20   22.71   25.29   27.26
  0.04    1.33   29.44   26.44   24.94   23.64   22.22   22.60   24.89   26.91
  0.04    1.50   29.78   26.78   25.12   23.75   22.26   22.53   24.50   26.58
  0.04    1.68   30.51   27.08   25.33   23.84   22.31   22.46   24.11   26.16
  0.04    1.88   30.95   27.45   25.52   23.97   22.38   22.38   23.73   25.75
  0.04    2.11   31.83   27.94   25.81   24.13   22.48   22.31   23.44   25.33
  0.04    2.37   33.03   28.43   26.11   24.29   22.59   22.27   23.28   24.96
  0.04    2.66   33.88   29.22   26.51   24.49   22.73   22.31   23.24   24.65
  0.04    2.99   34.79   30.05   27.00   24.75   22.86   22.42   23.30   24.25
  0.04    3.35   37.32   31.38   27.73   25.11   23.07   22.61   23.43   23.80
  0.04    3.76   36.01   32.50   28.63   25.64   23.39   22.83   23.56   23.35
  0.04    4.22    +Inf   33.89   29.43   26.27   23.84   23.08   23.56   23.01
  0.04    4.73    +Inf   34.47   30.30   26.89   24.41   23.38   23.52   22.84
  0.04    5.31    +Inf   35.00   31.27   27.58   25.09   23.80   23.59   22.79
  0.04    5.96    +Inf   42.27   32.25   28.24   25.80   24.34   23.74   22.76
  0.04    6.68    +Inf    +Inf   33.20   29.09   26.54   24.90   24.01   22.81
  0.04    7.50    +Inf    +Inf   34.17   29.96   27.38   25.47   24.37   22.92
  0.04    8.41    +Inf    +Inf   33.82   30.70   28.44   26.03   24.79   23.03
  0.04    9.44    +Inf    +Inf   34.49   31.02   29.41   26.49   25.20   23.16
  0.04   10.59    +Inf    +Inf   33.96   31.26   29.99   26.75   25.56   23.32
  0.04   11.89    +Inf    +Inf   33.70   31.28   30.13   26.93   25.85   23.48
  0.04   13.34    +Inf    +Inf   33.99   31.31   30.40   27.08   26.10   23.59
  0.04   14.96    +Inf    +Inf   34.41   31.45   30.56   27.26   26.34   23.76
  0.04   16.79    +Inf   40.81   34.83   31.59   30.80   27.47   26.60   23.92
  0.04   18.84    +Inf    +Inf   33.84   31.50   30.70   27.62   26.87   24.06
  0.04   21.13    +Inf    +Inf   34.98   31.48   30.68   27.71   27.11   24.17
  0.04   23.71    +Inf   43.63   34.72   31.72   30.94   27.92   27.34   24.31
  0.04   26.61    +Inf   42.79   33.89   31.51   30.73   28.05   27.58   24.46
  0.04   29.85    +Inf   39.79   35.03   31.47   30.96   28.26   27.78   24.58


  0.05    1.06   28.96   26.38   25.01   24.01   22.72   23.24   26.08   27.71
  0.05    1.19   29.49   26.70   25.29   24.13   22.73   23.12   25.73   27.64
  0.05    1.33   30.08   27.00   25.47   24.23   22.75   23.01   25.33   27.30
  0.05    1.50   30.40   27.34   25.66   24.34   22.80   22.95   24.94   26.97
  0.05    1.68   31.15   27.65   25.87   24.43   22.86   22.88   24.55   26.55
  0.05    1.88   31.60   28.02   26.07   24.56   22.92   22.82   24.17   26.13
  0.05    2.11   32.46   28.54   26.37   24.73   23.02   22.76   23.89   25.73
  0.05    2.37   33.69   29.02   26.67   24.89   23.14   22.73   23.74   25.36
  0.05    2.66   34.58   29.81   27.09   25.09   23.28   22.78   23.69   25.06
  0.05    2.99   35.60   30.64   27.61   25.36   23.41   22.89   23.76   24.69
  0.05    3.35   37.55   32.03   28.38   25.73   23.63   23.08   23.89   24.26
  0.05    3.76   36.60   33.19   29.29   26.27   23.96   23.31   24.03   23.83
  0.05    4.22    +Inf   34.48   30.09   26.91   24.42   23.56   24.04   23.51
  0.05    4.73    +Inf   35.05   30.94   27.54   24.99   23.87   24.02   23.34
  0.05    5.31    +Inf   35.49   32.04   28.23   25.68   24.31   24.08   23.29
  0.05    5.96    +Inf   43.38   32.88   28.91   26.38   24.85   24.24   23.27
  0.05    6.68    +Inf    +Inf   33.95   29.81   27.11   25.43   24.51   23.33
  0.05    7.50    +Inf    +Inf   35.04   30.61   27.96   26.00   24.89   23.44
  0.05    8.41    +Inf    +Inf   34.44   31.36   29.02   26.57   25.32   23.55
  0.05    9.44    +Inf    +Inf   35.09   31.63   29.99   27.03   25.72   23.69
  0.05   10.59    +Inf    +Inf   34.60   31.82   30.55   27.29   26.09   23.85
  0.05   11.89    +Inf    +Inf   34.30   31.88   30.66   27.46   26.38   24.01
  0.05   13.34    +Inf    +Inf   34.65   31.86   30.90   27.62   26.62   24.12
  0.05   14.96    +Inf    +Inf   35.04   32.11   31.07   27.80   26.87   24.29
  0.05   16.79    +Inf   42.26   35.47   32.20   31.33   28.01   27.13   24.45
  0.05   18.84    +Inf    +Inf   34.51   32.10   31.21   28.16   27.39   24.60
  0.05   21.13    +Inf    +Inf   35.83   32.08   31.21   28.26   27.63   24.70
  0.05   23.71    +Inf   44.52   35.41   32.30   31.45   28.47   27.85   24.85
  0.05   26.61    +Inf   43.95   34.59   32.08   31.23   28.60   28.09   25.00
  0.05   29.85    +Inf   41.35   35.62   32.08   31.47   28.80   28.28   25.12


